"Crop","GCM","Impact","Has","prod","yield","low_imp","mid_imp","hig_imp","dfr_low","dfr_mid","dfr_hig"
"Coconut","BCC-CSM2-MR","cope",41128.3237116383,490312.672,8.46676080974071,7.62008472876664,7.1967466882796,6.77340864779257,490305.051915271,490305.475253312,490305.898591352
"Coconut","CanESM5-CanOE","cope",73809.6963753691,490312.672,5.18958898611908,4.67063008750718,4.41115063820122,4.15167118889527,490308.001369913,490308.260849362,490308.520328811
"Coconut","CanESM5","cope",73809.6963753691,490312.672,5.18958898611908,4.67063008750718,4.41115063820122,4.15167118889527,490308.001369913,490308.260849362,490308.520328811
"Coconut","CMCC-ESM2","cope",71390.5726891439,490312.672,5.87776148463053,5.28998533616748,4.99609726193595,4.70220918770442,490307.382014664,490307.675902738,490307.969790812
"Coconut","CNRM-CM6-1-HR","cope",75986.1141291158,490312.672,5.58370460847243,5.02533414762519,4.74614891720157,4.46696368677795,490307.646665852,490307.925851083,490308.205036313
"Coconut","CNRM-CM6-1","cope",75986.1141291158,490312.672,5.58370460847243,5.02533414762519,4.74614891720157,4.46696368677795,490307.646665852,490307.925851083,490308.205036313
"Coconut","CNRM-ESM2-1","cope",72463.6605135566,490312.672,5.41883407047263,4.87695066342536,4.60600895990173,4.3350672563781,490307.795049337,490308.06599104,490308.336932744
"Coconut","EC-Earth3-Veg-LR","cope",56857.1722627394,490312.672,7.07671888011897,6.36904699210707,6.01521104810113,5.66137510409518,490306.302953008,490306.656788952,490307.010624896
"Coconut","EC-Earth3-Veg","cope",56857.1722627394,490312.672,7.07671888011897,6.36904699210707,6.01521104810113,5.66137510409518,490306.302953008,490306.656788952,490307.010624896
"Coconut","GFDL-ESM4","cope",73444.6539852927,490312.672,5.75727062174811,5.1815435595733,4.89368002848589,4.60581649739849,490307.49045644,490307.778319972,490308.066183503
"Coconut","GISS-E2-1-G","cope",73057.1959383842,490312.672,4.99183375478286,4.49265037930458,4.24305869156543,3.99346700382629,490308.179349621,490308.428941308,490308.678532996
"Coconut","GISS-E2-1-H","cope",72519.8408504399,490312.672,5.34401998959572,4.80961799063615,4.54241699115636,4.27521599167658,490307.862382009,490308.129583009,490308.396784008
"Coconut","INM-CM4-8","cope",55851.7394135455,490312.672,7.32466247126278,6.5921962241365,6.22596310057336,5.85972997701022,490306.079803776,490306.446036899,490306.812270023
"Coconut","INM-CM5-0","cope",73426.5376924546,490312.672,5.90545023863034,5.31490521476731,5.01963270283579,4.72436019090427,490307.357094785,490307.652367297,490307.947639809
"Coconut","IPSL-CM6A-LR","cope",73777.9862980917,490312.672,5.80133089598163,5.22119780638347,4.93113126158439,4.64106471678531,490307.450802194,490307.740868738,490308.030935283
"Coconut","MIROC-ES2L","cope",74292.7839771518,490312.672,5.59970965278652,5.03973868750787,4.75975320486854,4.47976772222921,490307.632261313,490307.912246795,490308.192232278
"Coconut","MIROC6","cope",76574.8073324487,490312.672,5.54005544971282,4.98604990474153,4.70904713225589,4.43204435977025,490307.685950095,490307.962952868,490308.23995564
"Coconut","MPI-ESM1-2-HR","cope",75250.3539974391,490312.672,5.44448439944078,4.90003595949671,4.62781173952467,4.35558751955263,490307.771964041,490308.044188261,490308.31641248
"Coconut","MPI-ESM1-2-LR","cope",68721.0148467971,490312.672,5.83208090113082,5.24887281101774,4.9572687659612,4.66566472090466,490307.423127189,490307.714731234,490308.006335279
"Coconut","MRI-ESM2-0","cope",72073.2812586846,490312.672,5.42498224524746,4.88248402072271,4.61123490846034,4.33998579619797,490307.789515979,490308.060765092,490308.332014204
"Coconut","UKESM1-0-LL","cope",72869.4301811466,490312.672,5.34350320080468,4.80915288072421,4.54197772068398,4.27480256064374,490307.862847119,490308.130022279,490308.397197439
"Oil palm","ACCESS-CM2","cope",313353.17034629,276773.16,0.713989611323206,0.642590650190885,0.606891169624725,0.571191689058565,276772.51740935,276772.55310883,276772.588808311
"Oil palm","ACCESS-ESM1-5","cope",334184.151127366,276773.16,0.731631783408583,0.658468605067724,0.621887015897295,0.585305426726866,276772.501531395,276772.538112984,276772.574694573
"Oil palm","AWI-CM-1-1-MR","cope",354571.147941601,276773.16,0.735453695108197,0.661908325597377,0.625135640841967,0.588362956086557,276772.498091674,276772.534864359,276772.571637044
"Oil palm","BCC-CSM2-MR","cope",349533.699664789,276773.16,0.74441596877867,0.669974371900803,0.63275357346187,0.595532775022936,276772.490025628,276772.527246426,276772.564467225
"Oil palm","CanESM5-CanOE","cope",315910.206344105,276773.16,0.722065972723811,0.64985937545143,0.61375607681524,0.577652778179049,276772.510140625,276772.546243923,276772.582347222
"Oil palm","CanESM5","cope",315910.206344105,276773.16,0.722065972723811,0.64985937545143,0.61375607681524,0.577652778179049,276772.510140625,276772.546243923,276772.582347222
"Oil palm","CMCC-ESM2","cope",350616.416723656,276773.16,0.721298793148831,0.649168913833948,0.613103974176507,0.577039034519065,276772.510831086,276772.546896026,276772.582960965
"Oil palm","CNRM-CM6-1-HR","cope",334775.97350111,276773.16,0.723531382594544,0.651178244335089,0.615001675205362,0.578825106075635,276772.508821756,276772.544998325,276772.581174894
"Oil palm","CNRM-CM6-1","cope",334775.97350111,276773.16,0.723531382594544,0.651178244335089,0.615001675205362,0.578825106075635,276772.508821756,276772.544998325,276772.581174894
"Oil palm","CNRM-ESM2-1","cope",343613.548113029,276773.16,0.725994115697268,0.653394704127541,0.617094998342678,0.580795292557814,276772.506605296,276772.542905002,276772.579204707
"Oil palm","EC-Earth3-Veg-LR","cope",359523.92600851,276773.16,0.740087586288294,0.666078827659464,0.62907444834505,0.592070069030635,276772.493921172,276772.530925552,276772.567929931
"Oil palm","EC-Earth3-Veg","cope",359523.92600851,276773.16,0.740087586288294,0.666078827659464,0.62907444834505,0.592070069030635,276772.493921172,276772.530925552,276772.567929931
"Oil palm","GFDL-ESM4","cope",308566.979617134,276773.16,0.718973063124304,0.647075756811874,0.611127103655659,0.575178450499443,276772.512924243,276772.548872896,276772.584821549
"Oil palm","GISS-E2-1-G","cope",319445.9304996,276773.16,0.725098592100881,0.652588732890793,0.616333803285748,0.580078873680704,276772.507411267,276772.543666197,276772.579921126
"Oil palm","GISS-E2-1-H","cope",314867.290450899,276773.16,0.720484879543794,0.648436391589415,0.612412147612225,0.576387903635035,276772.511563608,276772.547587852,276772.583612096
"Oil palm","INM-CM4-8","cope",357999.861778226,276773.16,0.738859915205934,0.66497392368534,0.628030927925044,0.591087932164747,276772.495026076,276772.531969072,276772.568912068
"Oil palm","INM-CM5-0","cope",357677.417248359,276773.16,0.727129762428283,0.654416786185454,0.61806029806404,0.581703809942626,276772.505583214,276772.541939702,276772.57829619
"Oil palm","IPSL-CM6A-LR","cope",322235.755544644,276773.16,0.720880278412139,0.648792250570925,0.612748236650318,0.576704222729711,276772.511207749,276772.547251763,276772.583295777
"Oil palm","MIROC-ES2L","cope",326045.907596178,276773.16,0.718619511545061,0.646757560390555,0.610826584813302,0.574895609236049,276772.51324244,276772.549173415,276772.585104391
