"Crop","GCM","Impact","Has"
"Mango","CNRM-ESM2-1","transform",371.231951924041
"Mango","EC-Earth3-Veg-LR","cope",657.928659405559
"Mango","EC-Earth3-Veg-LR","adjust",3478.98054422904
"Mango","EC-Earth3-Veg-LR","transform",857.381682194769
"Mango","EC-Earth3-Veg","cope",657.928659405559
"Mango","EC-Earth3-Veg","adjust",3478.98054422904
"Mango","EC-Earth3-Veg","transform",857.381682194769
"Mango","GFDL-ESM4","cope",1098.11578354705
"Mango","GFDL-ESM4","adjust",3012.16129562724
"Mango","GFDL-ESM4","transform",1130.07807044871
"Mango","GISS-E2-1-G","cope",2592.08096800838
"Mango","GISS-E2-1-G","adjust",2309.80079776887
"Mango","GISS-E2-1-G","transform",1113.91503160633
"Mango","GISS-E2-1-H","cope",2410.65085584391
"Mango","GISS-E2-1-H","adjust",2181.33509873319
"Mango","GISS-E2-1-H","transform",1179.89906888269
"Mango","INM-CM4-8","cope",2028.81553993002
"Mango","INM-CM4-8","adjust",2490.93796973769
"Mango","INM-CM4-8","transform",993.430758899078
"Mango","INM-CM5-0","cope",2407.76970367972
"Mango","INM-CM5-0","adjust",2251.3039614642
"Mango","INM-CM5-0","transform",1084.77862936072
"Mango","IPSL-CM6A-LR","cope",2796.02378021274
"Mango","IPSL-CM6A-LR","adjust",2468.83420665283
"Mango","IPSL-CM6A-LR","transform",662.400122536346
"Mango","MIROC-ES2L","cope",2582.52314453665
"Mango","MIROC-ES2L","adjust",2553.57821061183
"Mango","MIROC-ES2L","transform",826.948267290369
"Mango","MIROC6","cope",3235.19161363877
"Mango","MIROC6","adjust",1614.21183795575
"Mango","MIROC6","transform",775.302361080423
"Mango","MPI-ESM1-2-HR","cope",4116.61296119727
"Mango","MPI-ESM1-2-HR","adjust",828.381148998626
"Mango","MPI-ESM1-2-HR","transform",253.917210074142
"Mango","MPI-ESM1-2-LR","cope",3840.41177492402
"Mango","MPI-ESM1-2-LR","adjust",1403.01300214697
"Mango","MPI-ESM1-2-LR","transform",323.32434448041
"Mango","MRI-ESM2-0","cope",2790.21091876272
"Mango","MRI-ESM2-0","adjust",1960.84431306738
"Mango","MRI-ESM2-0","transform",1086.68111841939
"Mango","UKESM1-0-LL","cope",2114.33082597796
"Mango","UKESM1-0-LL","adjust",2793.46043974999
"Mango","UKESM1-0-LL","transform",752.790209582075
